name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
Minhas Air Base,OPMS,ATG,,False,False,False,Minhas Air Base (Pakistan) (OPMS / ATG)
Rafiqui Air Base,OPRQ,,,False,False,False,Rafiqui Air Base (Pakistan) (OPRQ)
Faisal Air Base,OPSF,,,False,False,False,Faisal Air Base (Pakistan) (OPSF)
Mushaf Air Base,OPSR,SGI,,False,False,False,Mushaf Air Base (Pakistan) (OPSR / SGI)
Qayyarah West Airport,ORQW,RQW,,False,False,False,Qayyarah West Airport (Iraq) (ORQW / RQW)
Al Sahra Army Air Field,ORSH,,,False,False,False,Al Sahra Army Air Field (Iraq) (ORSH)
Tall Afar Army Air Field,ORTF,,,False,False,False,Tall Afar Army Air Field (Iraq) (ORTF)
Al Taji Army Air Field,ORTI,,,False,False,False,Al Taji Army Air Field (Iraq) (ORTI)
Ubaydah Bin Al Jarrah Airport,ORUB,,,False,False,False,Ubaydah Bin Al Jarrah Airport (Iraq) (ORUB)
Nenana Municipal Airport,PANN,ENN,,False,False,False,Nenana Municipal Airport (United States) (PANN / ENN)
Wasilla Airport,PAWS,WWA,,False,False,False,Wasilla Airport (United States) (PAWS / WWA)
Gangshan Air Force Base,RCAY,,,False,False,False,Gangshan Air Force Base (Taiwan) (RCAY)
Asahikawa Airfield,RJCA,,,False,False,False,Asahikawa Airfield (Japan) (RJCA)
Iwakuni Marine Corps Air Station,RJOI,IWK,,False,False,False,Iwakuni Marine Corps Air Station (Japan) (RJOI / IWK)
Utsunomiya Airport,RJTU,,,False,False,False,Utsunomiya Airport (Japan) (RJTU)
Jungwon Air Base/Chungju Airport,RKTI,,,False,False,False,Jungwon Air Base/Chungju Airport (South Korea) (RKTI)
Ie Jima Airport,RORE,IEJ,,False,False,False,Ie Jima Airport (Japan) (RORE / IEJ)
Allah Valley Airport,RPMA,AAV,,False,False,False,Allah Valley Airport (Philippines) (RPMA / AAV)
Bislig Airport,RPMF,BPH,,False,False,False,Bislig Airport (Philippines) (RPMF / BPH)
Mati National Airport,RPMQ,MXI,,False,False,False,Mati National Airport (Philippines) (RPMQ / MXI)
Presidente Néstor Kirchner Regionsl Airport,SAOV,,,False,False,False,Presidente Néstor Kirchner Regionsl Airport (Argentina) (SAOV)
Chafei Amsei Airport,SBBT,BAT,,False,False,False,Chafei Amsei Airport (Brazil) (SBBT / BAT)
Base de Aviação de Taubaté Airport,SBTA,QHP,,False,False,False,Base de Aviação de Taubaté Airport (Brazil) (SBTA / QHP)
Barriles Airport,SCBE,TOQ,,False,False,False,Barriles Airport (Chile) (SCBE / TOQ)
Schroeder's field,SCHR,,,False,False,False,Schroeder's field (Chile) (SCHR)
Chañaral Airport,SCRA,CNR,,False,False,False,Chañaral Airport (Chile) (SCRA / CNR)
Panguilemo Airport,SCTL,TLX,,False,False,False,Panguilemo Airport (Chile) (SCTL / TLX)
Victoria Airport,SCTO,ZIC,,False,False,False,Victoria Airport (Chile) (SCTO / ZIC)
Las Breas Airport,SCTT,TTC,,False,False,False,Las Breas Airport (Chile) (SCTT / TTC)
Gomez Nino Apiay Air Base,SKAP,API,,False,False,False,Gomez Nino Apiay Air Base (Colombia) (SKAP / API)
Coveñas Airport,SKCV,CVE,,False,False,False,Coveñas Airport (Colombia) (SKCV / CVE)
German Olano Air Base,SKPQ,PAL,,False,False,False,German Olano Air Base (Colombia) (SKPQ / PAL)
Paz De Ariporo Airport,SKPZ,PZA,,False,False,False,Paz De Ariporo Airport (Colombia) (SKPZ / PZA)
Tunja Airport,SKTJ,,,False,False,False,Tunja Airport (Colombia) (SKTJ)
Tres Esquinas Air Base,SKTQ,TQS,,False,False,False,Tres Esquinas Air Base (Colombia) (SKTQ / TQS)
Marandúa Air Base,SKUA,,,False,False,False,Marandúa Air Base (Colombia) (SKUA)
Juan Simons Vela Airport,SPJA,RIJ,,False,False,False,Juan Simons Vela Airport (Peru) (SPJA / RIJ)
Shumba Airport,SPJE,JAE,,False,False,False,Shumba Airport (Peru) (SPJE / JAE)
Metropolitano Airport,SVMP,,,False,False,False,Metropolitano Airport (Venezuela) (SVMP)
Issyk-Kul International Airport,UAFL,IKU,,False,False,False,Issyk-Kul International Airport (Kyrgyzstan) (UAFL / IKU)
Kant Air Base,UAFW,,,False,False,False,Kant Air Base (Kyrgyzstan) (UAFW)
Ayaguz Airport,UASA,,,False,False,False,Ayaguz Airport (Kazakhstan) (UASA)
Chelkar Airport,UATR,,,False,False,False,Chelkar Airport (Kazakhstan) (UATR)
Kyzyl-Syr Airport,UENK,,,False,False,False,Kyzyl-Syr Airport (Russia) (UENK)
Vilyuisk Airport,UENW,VYI,,False,False,False,Vilyuisk Airport (Russia) (UENW / VYI)
Belaya Gora Airport,UESG,BGN,,False,False,False,Belaya Gora Airport (Russia) (UESG / BGN)
Dzhermuk Airport,UGEJ,,,False,False,False,Dzhermuk Airport (Armenia) (UGEJ)
Kamenny Ruchey Naval Air Base,UHKG,,,False,False,False,Kamenny Ruchey Naval Air Base (Russia) (UHKG)
