name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
2EXCEL (Lasham),EGHL,QLA,,False,True,True,2EXCEL (Lasham) (QLA / EGHL)
37 Brook Lane,,,X716,False,True,True,37 Brook Lane (X716)
47 Brook Lane WARSASH,,,X717,False,True,True,47 Brook Lane WARSASH (X717)
ABBOTSWOOD,,,A003,False,True,True,ABBOTSWOOD (A003)
ABERDEEN / DYCE,EGPD,ABZ,,False,True,True,ABERDEEN / DYCE (ABZ / EGPD)
ABERGAVENNY AIRFIELD,,,W044,False,True,True,ABERGAVENNY AIRFIELD (W044)
ABOYNE DEESIDE GLIDING CLUB,,,S014,False,True,True,ABOYNE DEESIDE GLIDING CLUB (S014)
ABP LANGPORT,,,G086,False,True,True,ABP LANGPORT (G086)
ACTON FARM,,,D012,False,True,True,ACTON FARM (D012)
ADVERSANE,,,A184,False,True,True,ADVERSANE (A184)
AINTREE RACECOURSE,,,M073,False,True,True,AINTREE RACECOURSE (M073)
AJ WALTER AVIATION LTD HQ HELIPAD,,,G175,False,True,True,AJ WALTER AVIATION LTD HQ HELIPAD (G175)
ALBA NORTH,EXAF,,,False,False,True,ALBA NORTH (EXAF)
ALCALINE TRANSPORT HELIPAD LYMPNE INDUSTRIAL EST.,,,X387,False,True,True,ALCALINE TRANSPORT HELIPAD LYMPNE INDUSTRIAL EST. (X387)
ALEXANDER HOUSE HOTEL (H),,,G167,False,True,True,ALEXANDER HOUSE HOTEL (H) (G167)
AMETHYST A1D,EXAG,,,False,False,True,AMETHYST A1D (EXAG)
Apperknowle/ Coal Aston,,,X720,False,True,True,Apperknowle/ Coal Aston (X720)
ASCOT RACECOURSE,EGLT,,,False,True,True,ASCOT RACECOURSE (EGLT)
ASHCROFT,EGCR,,,False,True,True,ASHCROFT (EGCR)
ASHURST WOOD,,,D266,False,True,True,ASHURST WOOD (D266)
ATHERSTONE / ALSCOT PARK (Long Marston),EGBL,,,False,True,True,ATHERSTONE / ALSCOT PARK (Long Marston) (EGBL)
AUDLEY END,,,E178,False,True,True,AUDLEY END (E178)
AVON COTTAGE,,,A598,False,True,True,AVON COTTAGE (A598)
Awbridge Danes,,,X715,False,True,True,Awbridge Danes (X715)
BACKSTABLE FARM - Haddenham Airstrip,,,T531,False,True,True,BACKSTABLE FARM - Haddenham Airstrip (T531)
BAGBY,EGNG,,,False,True,True,BAGBY (EGNG)
BAGDEN HALL HOTEL,,,X332,False,True,True,BAGDEN HALL HOTEL (X332)
BAGSHOT PARK,,,T219,False,True,True,BAGSHOT PARK (T219)
BAILEYS FARM,,,T279,False,True,True,BAILEYS FARM (T279)
BARHAM,,,D010,False,True,True,BARHAM (D010)
BARLING EAST,,,E355,False,True,True,BARLING EAST (E355)
BARRA AIRPORT,EGPR,BRR,,False,False,True,BARRA AIRPORT (BRR / EGPR)
BARTON,EGCB,,,False,True,True,BARTON (EGCB)
Bashley Airstrip,,,X614,False,True,True,Bashley Airstrip (X614)
BATTERSEA HELIPORT (H),EGLW,,,False,True,True,BATTERSEA HELIPORT (H) (EGLW)
BAYNARDS PARK ESTATE / HOME FARM,,,T002,False,True,True,BAYNARDS PARK ESTATE / HOME FARM (T002)
BECCLES,EGSM,,,False,True,True,BECCLES (EGSM)
BEDFORD,EGBF,,,False,True,True,BEDFORD (EGBF)
BEDFORD / CASTLE MILL,EGSB,,,False,False,True,BEDFORD / CASTLE MILL (EGSB)
BEDFORD MICROLIGHT CENTRE / SANDY / LONGACRE FARM,,,E285,False,True,True,BEDFORD MICROLIGHT CENTRE / SANDY / LONGACRE FARM (E285)
Bedwell Hey Farm Ely Rd,,,E201,False,True,True,Bedwell Hey Farm Ely Rd (E201)
BELFAST / ALDERGROVE,EGAA,BFS,,False,True,True,BELFAST / ALDERGROVE (BFS / EGAA)
BELFAST CITY / GEORGE BEST AIRPORT,EGAC,BHD,,False,True,True,BELFAST CITY / GEORGE BEST AIRPORT (BHD / EGAC)
BEMBRIDGE,EGHJ,BBP,,False,True,True,BEMBRIDGE (BBP / EGHJ)
BENBECULA AIRSTRIP,EGPL,BEB,,False,True,True,BENBECULA AIRSTRIP (BEB / EGPL)
Benington,,,T152,False,True,True,Benington (T152)
BENTWATERS,EGVJ,,,False,True,True,BENTWATERS (EGVJ)
BERE FARM / NORTH BOARHUNT,,,A217,False,True,True,BERE FARM / NORTH BOARHUNT (A217)
BERROW,,,W229,False,True,True,BERROW (W229)
BEVERLEY (LINLEY HILL) AIRFIELD EAST YORKSHIRE,EGNY,,,False,True,True,BEVERLEY (LINLEY HILL) AIRFIELD EAST YORKSHIRE (EGNY)
BICESTER AERODROME,EGDD,,,False,True,True,BICESTER AERODROME (EGDD)
BIDEFORD (H),,,A726,False,True,True,BIDEFORD (H) (A726)
BIDFORD FLYING & GLIDING CLUB,,,C005,False,True,True,BIDFORD FLYING & GLIDING CLUB (C005)
BIGGIN HILL,EGKB,BQH,,False,True,True,BIGGIN HILL (BQH / EGKB)
Bignell Stud,,,T590,False,True,True,Bignell Stud (T590)
BINHAM,,,E011,False,True,True,BINHAM (E011)
BIRMINGHAM AIRPORT,EGBB,BHX,,False,True,True,BIRMINGHAM AIRPORT (BHX / EGBB)
Blackberry Farm,,,B041,False,True,True,Blackberry Farm (B041)
BLACKBUSHE,EGLK,BBS,,False,True,True,BLACKBUSHE (BBS / EGLK)
BLACKPOOL,EGNH,BLK,,False,True,True,BLACKPOOL (BLK / EGNH)
Bluebell Airfield for Southings Manor Farm,,,X291,False,True,True,Bluebell Airfield for Southings Manor Farm (X291)
Blythe Hall Helipad,,,X591,False,True,True,Blythe Hall Helipad (X591)
BODMIN,EGLA,,,False,True,True,BODMIN (EGLA)
BOGNOR REGIS LEC - BR AVIATION,EGKC,,,False,True,True,BOGNOR REGIS LEC - BR AVIATION (EGKC)
BOLT HEAD,,,A781,False,True,True,BOLT HEAD (A781)
BOOKER,EGTB,HYC,,False,True,True,BOOKER (HYC / EGTB)
Borehouse Farm Strip,,,X672,False,True,True,Borehouse Farm Strip (X672)
BOSCOMBE DOWN,EGDM,,,False,True,True,BOSCOMBE DOWN (EGDM)
BOURNEMOUTH / HURN,EGHH,BOH,,False,True,True,BOURNEMOUTH / HURN (BOH / EGHH)
BOVINGDON ACTIVE AIRFIELD (Berry Farm),,,X519,False,True,True,BOVINGDON ACTIVE AIRFIELD (Berry Farm) (X519)
BOWFORD FARM,,,X188,False,True,True,BOWFORD FARM (X188)
BOWLDOWN FARM,,,W239,False,True,True,BOWLDOWN FARM (W239)
BRACKWELL FARM,,,T571,False,True,True,BRACKWELL FARM (T571)
Bradfield House,,,T540,False,True,True,Bradfield House (T540)
Bradleys Lawn,,,A172,False,True,True,Bradleys Lawn (A172)
BRANDS HATCH,,,D005,False,True,True,BRANDS HATCH (D005)
BRANDS HATCH PLACE HOTEL AND SPA,,,D031,False,True,True,BRANDS HATCH PLACE HOTEL AND SPA (D031)
BRATTON,,,A968,False,True,True,BRATTON (A968)
BRAWDY / CAWDOR BARRACKS (Domestic operations only,EGDA,,,False,False,True,BRAWDY / CAWDOR BARRACKS (Domestic operations only (EGDA)
BREIGHTON AIRFIELD SELBY,EGBR,,,False,True,True,BREIGHTON AIRFIELD SELBY (EGBR)
BRENTWOOD / LITTLE WARLEY / LITTLE BASSETTS FARM,,,E216,False,True,True,BRENTWOOD / LITTLE WARLEY / LITTLE BASSETTS FARM (E216)
BRIMPTON,EGLP,,,False,True,True,BRIMPTON (EGLP)
BRINE PITS FARM LANDING STRIP,,,C115,False,True,True,BRINE PITS FARM LANDING STRIP (C115)
BRISTOL / LULSGATE,EGGD,BRS,,False,True,True,BRISTOL / LULSGATE (BRS / EGGD)
BROOK FARM / BURGATE,,,E068,False,True,True,BROOK FARM / BURGATE (E068)
BROOK HOUSE / MORLEY ST BOTOLPH (MORLEY AIRFIELD),,,E059,False,True,True,BROOK HOUSE / MORLEY ST BOTOLPH (MORLEY AIRFIELD) (E059)
BROOKMANS STRIP,,,C352,False,True,True,BROOKMANS STRIP (C352)
BROWNHILL OF ARDO,,,S227,False,True,True,BROWNHILL OF ARDO (S227)
Buildings Farm,,,A932,False,True,True,Buildings Farm (A932)
BULFORD / CARTER STRIP,EGDS,,,False,False,True,BULFORD / CARTER STRIP (EGDS)
BUNCTON BARN NUNCTON LANE HAYWARDS HEATH,,,X321,False,True,True,BUNCTON BARN NUNCTON LANE HAYWARDS HEATH (X321)
Burlington House,,,B077,False,True,True,Burlington House (B077)
Bylaugh Hall Helipad,,,X622,False,True,True,Bylaugh Hall Helipad (X622)
CAERNARFON,EGCK,,,False,True,True,CAERNARFON (EGCK)
Calthorpes,,,E978,False,True,True,Calthorpes (E978)
CAMBRIDGE,EGSC,CBG,,False,True,True,CAMBRIDGE (CBG / EGSC)
CAMPBELTOWN AIRPORT,EGEC,CAL,,False,True,True,CAMPBELTOWN AIRPORT (CAL / EGEC)
CARDIFF HELIPORT,EGFC,,,False,True,True,CARDIFF HELIPORT (EGFC)
CARDIFF INTERNATIONAL AIRPORT,EGFF,CWL,,False,True,True,CARDIFF INTERNATIONAL AIRPORT (CWL / EGFF)
Carlisle Lake District Airport Limited,EGNC,CAX,,False,True,True,Carlisle Lake District Airport Limited (CAX / EGNC)
CASTLE AIR,,,A760,False,True,True,CASTLE AIR (A760)
CASTLE DAIRY FARM,,,C101,False,True,True,CASTLE DAIRY FARM (C101)
CELTIC MANOR HOTEL,,,W277,False,True,True,CELTIC MANOR HOTEL (W277)
CHALGROVE,EGLJ,,,False,True,True,CHALGROVE (EGLJ)
CHALLOCK,EGKE,,,False,True,True,CHALLOCK (EGKE)
CHARLTON PARK,,,A915,False,True,True,CHARLTON PARK (A915)
CHELTENHAM RACE COURSE,EGBC,,,False,True,True,CHELTENHAM RACE COURSE (EGBC)
CHELWORTH HOUSE / CHELWOOD GATE,,,A183,False,True,True,CHELWORTH HOUSE / CHELWOOD GATE (A183)
CHERRY TREE FARM,,,E092,False,True,True,CHERRY TREE FARM (E092)
CHESTER RACECOURSE,,,M112,False,True,True,CHESTER RACECOURSE (M112)
CHILBOLTON,,,A310,False,True,True,CHILBOLTON (A310)
CHILSFOLD FARM / NORTHCHAPEL,,,A246,False,True,True,CHILSFOLD FARM / NORTHCHAPEL (A246)
Church Farm,,,A180,False,True,True,Church Farm (A180)
CHURCH FARM,,,E121,False,True,True,CHURCH FARM (E121)
CHURCH FENTON,EGCM,,,False,True,True,CHURCH FENTON (EGCM)
CITY OF DERRY,EGAE,LDY,,False,True,True,CITY OF DERRY (LDY / EGAE)
CJS Helicopters,,,X678,False,True,True,CJS Helicopters (X678)
CLACTON,EGSQ,,,False,True,True,CLACTON (EGSQ)
CLADSWELL FARMHOUSE COOKHILL,,,X568,False,True,True,CLADSWELL FARMHOUSE COOKHILL (X568)
COCKERMOUTH / DOVENBY HALL,,,B004,False,True,True,COCKERMOUTH / DOVENBY HALL (B004)
COLL,EGEL,COL,,False,False,True,COLL (COL / EGEL)
COLONSAY / MACHRINS,EGEY,CSA,,False,False,True,COLONSAY / MACHRINS (CSA / EGEY)
COMPTON ABBAS,EGHA,,,False,True,True,COMPTON ABBAS (EGHA)
COPES FARM,,,D265,False,True,True,COPES FARM (D265)
COSTOCK / East Midlands Helicopters,,,N219,False,True,True,COSTOCK / East Midlands Helicopters (N219)
COTSWOLD AERODROME,EGBP,GBA,,False,True,True,COTSWOLD AERODROME (GBA / EGBP)
Cottage Farm,,,X116,False,True,True,Cottage Farm (X116)
COVENTRY AIRPORT,EGBE,CVT,,False,True,True,COVENTRY AIRPORT (CVT / EGBE)
COWDRAY ESTATE (same as Cowdray Polo Club ltd),,,A254,False,True,True,COWDRAY ESTATE (same as Cowdray Polo Club ltd) (A254)
Cowdray Polo Club Ltd,,,A251,False,True,True,Cowdray Polo Club Ltd (A251)
COWSLIP COTTAGES / MODEL FARM (H),,,X547,False,True,True,COWSLIP COTTAGES / MODEL FARM (H) (X547)
CRANFIELD,EGTC,,,False,True,True,CRANFIELD (EGTC)
CRITCHNEYLED CROFT,,,X398,False,True,True,CRITCHNEYLED CROFT (X398)
CROSLAND MOOR AIRFIELD,EGND,,,False,True,True,CROSLAND MOOR AIRFIELD (EGND)
CROWFIELD AIRFIELD,EGSO,,,False,True,True,CROWFIELD AIRFIELD (EGSO)
CROWHURST / HOMEFIELD FARM,,,T103,False,True,True,CROWHURST / HOMEFIELD FARM (T103)
CRUNDALE HOUSE / CRUNDALE FARM,,,X346,False,True,True,CRUNDALE HOUSE / CRUNDALE FARM (X346)
CULTER HELIPAD,EGEA,,,False,False,True,CULTER HELIPAD (EGEA)
CUMBERNAULD AIRPORT,EGPG,,,False,True,True,CUMBERNAULD AIRPORT (EGPG)
CURRY RIVEL AIRSTRIP,,,A656,False,True,True,CURRY RIVEL AIRSTRIP (A656)
DALHAM HALL STUD (H),,,E259,False,True,True,DALHAM HALL STUD (H) (E259)
DAMYNS HALL,EGML,,,False,True,True,DAMYNS HALL (EGML)
Darp Farm (H),,,X298,False,True,True,Darp Farm (H) (X298)
Deanland Airfield,EGKL,,,False,True,True,Deanland Airfield (EGKL)
DEENETHORPE,,,N228,False,True,True,DEENETHORPE (N228)
DEFFORD / CROFT FARM,,,C017,False,True,True,DEFFORD / CROFT FARM (C017)
DENHAM,EGLD,,,False,True,True,DENHAM (EGLD)
DERBY,EGBD,,,False,True,True,DERBY (EGBD)
Dodington Park Estate Helipad,,,G048,False,True,True,Dodington Park Estate Helipad (G048)
DOUNHURST / WISBOROUGH GREEN,,,D263,False,True,True,DOUNHURST / WISBOROUGH GREEN (D263)
DOUNREAY,EGPY,,,False,False,True,DOUNREAY (EGPY)
Dower House - Trustair Ltd,,,X226,False,True,True,Dower House - Trustair Ltd (X226)
DRAYCOT FLIGHT CENTRE,,,A920,False,True,True,DRAYCOT FLIGHT CENTRE (A920)
Drayton St. Leonard,,,T127,False,True,True,Drayton St. Leonard (T127)
DUNDEE,EGPN,DND,,False,True,True,DUNDEE (DND / EGPN)
DUNKESWELL,EGTU,,,False,True,True,DUNKESWELL (EGTU)
DUNSFOLD,EGTD,,,False,True,True,DUNSFOLD (EGTD)
DURHAM TEES VALLEY / TEESIDE,EGNV,MME,,False,True,True,DURHAM TEES VALLEY / TEESIDE (MME / EGNV)
DUXFORD,EGSU,QFO,,False,True,True,DUXFORD (QFO / EGSU)
Dyson HQ,,,T583,False,True,True,Dyson HQ (T583)
EARLS COLNE,EGSR,,,False,True,True,EARLS COLNE (EGSR)
EAST MIDLANDS AIRPORT,EGNX,EMA,,False,True,True,EAST MIDLANDS AIRPORT (EMA / EGNX)
East Sussex Gliding Club,,,A976,False,True,True,East Sussex Gliding Club (A976)
EAST WINCH,,,E033,False,True,True,EAST WINCH (E033)
EASTCHURCH AIRFIELD,,,D140,False,True,True,EASTCHURCH AIRFIELD (D140)
EDAY,EGED,EOI,,False,False,True,EDAY (EOI / EGED)
EDDSFIELD OCTON LODGE,,,B144,False,True,True,EDDSFIELD OCTON LODGE (B144)
EDINBURGH,EGPH,EDI,,False,True,True,EDINBURGH (EDI / EGPH)
EGGESFORD,,,A716,False,True,True,EGGESFORD (A716)
ELLENBOROUGH PARK HOTEL,,,G213,False,True,True,ELLENBOROUGH PARK HOTEL (G213)
ELMSETT,EGST,,,False,True,True,ELMSETT (EGST)
ELSTREE,EGTR,,,False,True,True,ELSTREE (EGTR)
ENGLEFIELD ESTATES,,,T125,False,True,True,ENGLEFIELD ESTATES (T125)
ENNISKILLEN,EGAB,ENK,,False,True,True,ENNISKILLEN (ENK / EGAB)
ENSTONE,EGTN,,,False,True,True,ENSTONE (EGTN)
EPSOM RACECOURSE,,,T061,False,True,True,EPSOM RACECOURSE (T061)
ETTINGTON PARK HOTEL,,,C202,False,True,True,ETTINGTON PARK HOTEL (C202)
EVERSONS FARM,,,X701,False,True,True,EVERSONS FARM (X701)
EXETER AIRPORT,EGTE,EXT,,False,True,True,EXETER AIRPORT (EXT / EGTE)
FAIR ISLE,EGEF,FIE,,False,False,True,FAIR ISLE (FIE / EGEF)
FAIROAKS,EGTF,,,False,True,True,FAIROAKS (EGTF)
Farm Buildings East Kent Farm,,,D279,False,True,True,Farm Buildings East Kent Farm (D279)
FARNBOROUGH,EGLF,FAB,,False,True,True,FARNBOROUGH (FAB / EGLF)
FARTHING CORNER,EGMF,,,False,True,True,FARTHING CORNER (EGMF)
FARWAY COMMON AIRFIELD,,,A635,False,True,True,FARWAY COMMON AIRFIELD (A635)
FAWSLEY HALL HOTEL,,,C198,False,True,True,FAWSLEY HALL HOTEL (C198)
FELTHORPE,,,E174,False,True,True,FELTHORPE (E174)
FENLAND,EGCL,,,False,True,True,FENLAND (EGCL)
Fenn Lane Farm,,,X641,False,True,True,Fenn Lane Farm (X641)
Field Farm/ East Midlands Helicopters,,,X728,False,True,True,Field Farm/ East Midlands Helicopters (X728)
FIFE AIRPORT / GLENROTHES,EGPJ,,,False,True,True,FIFE AIRPORT / GLENROTHES (EGPJ)
FINMERE,,,T236,False,True,True,FINMERE (T236)
FIRS FARM,,,T131,False,True,True,FIRS FARM (T131)
FISHBURN AIRFIELD,,,B072,False,True,True,FISHBURN AIRFIELD (B072)
Fishpools Farm,,,C318,False,True,True,Fishpools Farm (C318)
Flambird's Farm,,,L003,False,True,True,Flambird's Farm (L003)
FOLLY FARM,,,T124,False,True,True,FOLLY FARM (T124)
Forwood Farm,,,B286,False,True,True,Forwood Farm (B286)
FOUR SEASONS HOTEL,,,X455,False,True,True,FOUR SEASONS HOTEL (X455)
FOWLMERE,EGMA,,,False,True,True,FOWLMERE (EGMA)
FRESH AIR,,,T001,False,True,True,FRESH AIR (T001)
FULL SUTTON,EGNU,,,False,True,True,FULL SUTTON (EGNU)
FURZE FARM,,,E318,False,True,True,FURZE FARM (E318)
GAMSTON AIRPORT,EGNE,,,False,True,True,GAMSTON AIRPORT (EGNE)
Gardners Books,,,G038,False,True,True,Gardners Books (G038)
GATCOMBE PARK (H),,,G087,False,True,True,GATCOMBE PARK (H) (G087)
Ger Y Nant,,,X673,False,True,True,Ger Y Nant (X673)
GLASGOW,EGPF,GLA,,False,True,True,GLASGOW (GLA / EGPF)
GLASGOW CLYDE HELIPORT,EGEG,,,False,False,True,GLASGOW CLYDE HELIPORT (EGEG)
GLENEAGLES HOTEL,,,S140,False,True,True,GLENEAGLES HOTEL (S140)
GLENFORSA / MULL,,,S049,False,True,True,GLENFORSA / MULL (S049)
GLENSWINTON / CASTLE DOUGLAS,,,S184,False,True,True,GLENSWINTON / CASTLE DOUGLAS (S184)
GLOUCESTERSHIRE STAVERTON AIRPORT,EGBJ,GLO,,False,True,True,GLOUCESTERSHIRE STAVERTON AIRPORT (GLO / EGBJ)
GLYMPTON PARK,,,T534,False,True,True,GLYMPTON PARK (T534)
GOODWOOD,EGHR,QUG,,False,True,True,GOODWOOD (QUG / EGHR)
GOODWOOD CHICHESTER RACECOURSE,EGKG,,,False,False,True,GOODWOOD CHICHESTER RACECOURSE (EGKG)
Goose Eye Farm,,,X316,False,True,True,Goose Eye Farm (X316)
GRANBOROUGH / HOLLOW HILL FARM,,,T253,False,True,True,GRANBOROUGH / HOLLOW HILL FARM (T253)
GRATELEY,,,A311,False,True,True,GRATELEY (A311)
GRAVELEY,,,T168,False,True,True,GRAVELEY (T168)
GREAT MASSINGHAM,,,E048,False,True,True,GREAT MASSINGHAM (E048)
Great Rollright Manor,,,X738,False,True,True,Great Rollright Manor (X738)
GREAT TRIPPETS FARM,,,A991,False,True,True,GREAT TRIPPETS FARM (A991)
Greenlease Farm,,,A993,False,True,True,Greenlease Farm (A993)
GREENWOOD FARM,,,D018,False,True,True,GREENWOOD FARM (D018)
Grove Farm,,,N215,False,True,True,Grove Farm (N215)
GS AVIATION (CLENCH COMMON / CULLEYS FARM),,,A937,False,True,True,GS AVIATION (CLENCH COMMON / CULLEYS FARM) (A937)
Halesland Airfield,,,A660,False,True,True,Halesland Airfield (A660)
HALFPENNY GREEN,EGBO,,,False,True,True,HALFPENNY GREEN (EGBO)
HAM HILL,,,X451,False,True,True,HAM HILL (X451)
HAMILTON FARM AIRSTRIP,,,D091,False,True,True,HAMILTON FARM AIRSTRIP (D091)
HAMPDEN MANOR,,,T551,False,True,True,HAMPDEN MANOR (T551)
HAMWORTHY / POOLE ROYAL MARINES,,,A543,False,True,True,HAMWORTHY / POOLE ROYAL MARINES (A543)
HARDWICK AIRFIELD,,,E053,False,True,True,HARDWICK AIRFIELD (E053)
HARRINGE COURT FARM,,,D143,False,True,True,HARRINGE COURT FARM (D143)
Havenfields,,,X674,False,True,True,Havenfields (X674)
HAVERFORDWEST,EGFE,HAW,,False,True,True,HAVERFORDWEST (HAW / EGFE)
HAWARDEN,EGNR,CEG,,False,True,True,HAWARDEN (CEG / EGNR)
HAWKSVIEW,,,X191,False,True,True,HAWKSVIEW (X191)
HAYWARD / HAYWOOD FARM,,,W258,False,True,True,HAYWARD / HAYWOOD FARM (W258)
HEADCORN,EGKH,,,False,True,True,HEADCORN (EGKH)
Headon Airfield,,,N216,False,True,True,Headon Airfield (N216)
Heli Lift,,,X256,False,True,True,Heli Lift (X256)
HELIX AV - Manston,,,X698,False,True,True,HELIX AV - Manston (X698)
HENSTRIDGE,EGHS,,,False,True,True,HENSTRIDGE (EGHS)
HETHEL,EGSK,,,False,False,True,HETHEL (EGSK)
HEVENINGHAM HALL,,,X197,False,True,True,HEVENINGHAM HALL (X197)
HEXDEN MARSH AIRSTRIP,,,D142,False,True,True,HEXDEN MARSH AIRSTRIP (D142)
HIBALDSTOW,,,N019,False,True,True,HIBALDSTOW (N019)
HIGH EASTER / BURY FARM,,,E056,False,True,True,HIGH EASTER / BURY FARM (E056)
HIGH HAM,,,A625,False,True,True,HIGH HAM (A625)
HILL FARM,,,E157,False,True,True,HILL FARM (E157)
Hinton Airfield,,,C039,False,True,True,Hinton Airfield (C039)
HITCHAM HOUSE,,,E974,False,True,True,HITCHAM HOUSE (E974)
Holly Hill Farm Airstrip (GUIST),,,E332,False,True,True,Holly Hill Farm Airstrip (GUIST) (E332)
HOLMBECK FARM,,,T256,False,True,True,HOLMBECK FARM (T256)
HOLMLEY BANK,,,X608,False,True,True,HOLMLEY BANK (X608)
Home Farm,,,X652,False,True,True,Home Farm (X652)
HONEYCOMBE HOUSE,,,W055,False,True,True,HONEYCOMBE HOUSE (W055)
Hubbards Farm,,,X649,False,True,True,Hubbards Farm (X649)
HULLAVINGTON (DYSON),EGDV,,,False,True,True,HULLAVINGTON (DYSON) (EGDV)
HUMBERSIDE AIRPORT / KIRMINGTON,EGNJ,HUY,,False,True,True,HUMBERSIDE AIRPORT / KIRMINGTON (HUY / EGNJ)
HUNTERSWOOD FARM (HELIPAD),,,T213,False,True,True,HUNTERSWOOD FARM (HELIPAD) (T213)
Hunts Green House,,,X315,False,True,True,Hunts Green House (X315)
HUSBANDS BOSWORTH,,,C044,False,True,True,HUSBANDS BOSWORTH (C044)
ILLINGTON Strip,,,X193,False,True,True,ILLINGTON Strip (X193)
INSCH,,,S012,False,True,True,INSCH (S012)
INVERNESS / DALCROSS,EGPE,INV,,False,True,True,INVERNESS / DALCROSS (INV / EGPE)
ISLAY AIRFIELD,EGPI,ILY,,False,True,True,ISLAY AIRFIELD (ILY / EGPI)
JACKRELLS,,,A123,False,True,True,JACKRELLS (A123)
JANNAWAYS HELI,,,T232,False,True,True,JANNAWAYS HELI (T232)
KEMPTON PARK PACECOURSE,,,T063,False,True,True,KEMPTON PARK PACECOURSE (T063)
Kensington Palace,,,T015,False,True,True,Kensington Palace (T015)
KILFINICHEN ESTATE,,,X546,False,True,True,KILFINICHEN ESTATE (X546)
KINGS FARM ORSETT,EGMT,,,False,True,True,KINGS FARM ORSETT (EGMT)
KINGSLEY PARK,,,B040,False,True,True,KINGSLEY PARK (B040)
KIRKWALL,EGPA,KOI,,False,True,True,KIRKWALL (KOI / EGPA)
Kitesbridge Farm (INACTIVE),,,X150,False,True,True,Kitesbridge Farm (INACTIVE) (X150)
Kittyhawk Aerodrome,EGKF,,,False,True,True,Kittyhawk Aerodrome (EGKF)
KNOCKIN / SANDFORD HALL,,,W225,False,True,True,KNOCKIN / SANDFORD HALL (W225)
KNOLL HOUSE (H),,,A550,False,True,True,KNOLL HOUSE (H) (A550)
LADDINGFORD,,,D028,False,True,True,LADDINGFORD (D028)
Lake House,,,X285,False,True,True,Lake House (X285)
LAMBLEY AIRFIELD,,,N161,False,True,True,LAMBLEY AIRFIELD (N161)
LANDMEAD FARM,,,T005,False,True,True,LANDMEAD FARM (T005)
LANDS END,EGHC,LEQ,,False,True,True,LANDS END (LEQ / EGHC)
LANGAR AIRFIELD,,,N162,False,True,True,LANGAR AIRFIELD (N162)
Langenhoe Hall,,,E501,False,True,True,Langenhoe Hall (E501)
LANGMOOR FARM - HORNINGTOFT,,,E004,False,True,True,LANGMOOR FARM - HORNINGTOFT (E004)
Lawbrook,,,X630,False,True,True,Lawbrook (X630)
LE MANOIR HOTEL / LE MANOIR AUX QUAT' SAISON,,,T254,False,True,True,LE MANOIR HOTEL / LE MANOIR AUX QUAT' SAISON (T254)
LECONFIELD / NORMADY BARRACKS DOMESTIC ONLY ***,EGXV,,,False,False,True,LECONFIELD / NORMADY BARRACKS DOMESTIC ONLY *** (EGXV)
LEE ON SOLENT,EGHF,,,False,True,True,LEE ON SOLENT (EGHF)
LEEDS BRADFORD INTERNATIONAL AIRPORT,EGNM,LBA,,False,True,True,LEEDS BRADFORD INTERNATIONAL AIRPORT (LBA / EGNM)
LEICESTER,EGBG,,,False,True,True,LEICESTER (EGBG)
LERWICK TINGWALL AIRPORT,EGET,LWK,,False,True,True,LERWICK TINGWALL AIRPORT (LWK / EGET)
LILLINGSTONE LOVEL / HALL FARM,,,T264,False,True,True,LILLINGSTONE LOVEL / HALL FARM (T264)
Linton Airfield,,,D155,False,True,True,Linton Airfield (D155)
LITTLE CRESSINGHAM / THE OLD RECTORY,,,E982,False,True,True,LITTLE CRESSINGHAM / THE OLD RECTORY (E982)
LITTLE GORDONS,,,X732,False,True,True,LITTLE GORDONS (X732)
LITTLE GRANSDEN AIRFIELD,EGMJ,,,False,True,True,LITTLE GRANSDEN AIRFIELD (EGMJ)
LITTLE GREEN STREET FARM / CHORLEYWOOD / GREEN STREET,,,T572,False,True,True,LITTLE GREEN STREET FARM / CHORLEYWOOD / GREEN STREET (T572)
Little Horkesley,,,E362,False,True,True,Little Horkesley (E362)
LITTLE SHELFORD,,,E080,False,True,True,LITTLE SHELFORD (E080)
LITTLE SNORING,,,E081,False,True,True,LITTLE SNORING (E081)
Little Staughton Airfield,,,E283,False,True,True,Little Staughton Airfield (E283)
LIVERPOOL  AIRPORT,EGGP,LPL,,False,True,True,LIVERPOOL  AIRPORT (LPL / EGGP)
LLANBEDR,EGFD,,,False,False,True,LLANBEDR (EGFD)
Lodge Farm,,,E181,False,True,True,Lodge Farm (E181)
LONDON CITY,EGLC,LCY,,False,True,True,LONDON CITY (LCY / EGLC)
LONDON GATWICK,EGKK,LGW,,False,True,True,LONDON GATWICK (LGW / EGKK)
LONDON HEATHROW,EGLL,LHR,,False,True,True,LONDON HEATHROW (LHR / EGLL)
LONDON LUTON,EGGW,LTN,,False,True,True,LONDON LUTON (LTN / EGGW)
LONDON STANSTED,EGSS,STN,,False,True,True,LONDON STANSTED (STN / EGSS)
LONG STRATTON,,,E082,False,True,True,LONG STRATTON (E082)
Longbridge Deverill,,,A948,False,True,True,Longbridge Deverill (A948)
Longholes Stud,,,X107,False,True,True,Longholes Stud (X107)
Longparish House,,,X494,False,True,True,Longparish House (X494)
LONGSIDE / PETERHEAD,EGPS,,,False,False,True,LONGSIDE / PETERHEAD (EGPS)
